"year","country","age","gender","corruption","imp_democracy","income_group"
2017,"US",57,2,10,10,5
2017,"US",34,1,8,7,6
2017,"US",52,2,5,1,1
2017,"US",67,2,10,8,1
2017,"US",50,2,6,10,4
2017,"US",23,2,7,10,6
2017,"US",66,1,8,10,8
2017,"US",53,2,10,10,3
2017,"US",57,1,10,9,6
2017,"US",20,1,8,9,4
2017,"US",45,1,8,5,2
2017,"US",56,1,7,9,7
2017,"US",62,2,10,10,5
2017,"US",59,1,6,10,8
2017,"US",50,1,10,10,4
2017,"US",36,1,7,8,6
2017,"US",62,1,10,10,5
2017,"US",63,1,10,10,5
2017,"US",29,2,7,10,7
2017,"US",44,2,10,10,4
2017,"US",19,1,10,8,7
2017,"US",26,1,7,5,5
2017,"US",33,2,8,6,5
2017,"US",32,2,6,6,5
2017,"US",27,2,10,4,6
2017,"US",19,1,8,10,6
2017,"US",45,2,7,10,7
2017,"US",40,2,10,10,4
2017,"US",30,2,7,8,5
2017,"US",66,2,7,10,5
2017,"US",37,2,5,10,5
2017,"US",47,1,10,5,3
2017,"US",73,1,10,8,1
