"","X","internettbruk","kjonn","alder","utdanning","tillit"
"888",888,5,2,33,16,5
"889",889,5,2,28,20,7
"890",890,5,1,31,12,1
"891",891,2,2,29,8,0
"892",892,1,2,59,8,3
"893",893,5,1,28,15,6
"894",894,1,2,86,5,5
"895",895,5,2,38,18,3
"896",896,5,1,19,13,5
"897",897,1,2,68,8,8
"898",898,4,1,63,16,5
"899",899,4,2,27,8,1
"900",900,1,1,76,5,0
"901",901,5,2,18,13,4
"902",902,4,2,42,13,7
"903",903,5,2,46,8,5
"904",904,5,1,39,8,4
"905",905,4,2,46,8,7
"906",906,5,2,40,12,5
"907",907,3,2,59,NA,8
"908",908,5,1,47,18,5
"909",909,1,1,84,5,4
"910",910,5,1,NA,13,6
"911",911,5,1,48,18,9
"912",912,2,2,33,3,NA
"913",913,5,1,19,13,5
"914",914,4,2,77,8,0
"915",915,1,2,76,9,5
"916",916,5,2,54,11,4
